#COPIER ID MEAN MIN MAX
C0 0 616.23 608.30 627.93
C1 1 614.67 605.86 626.16
C2 2 618.62 606.92 628.45
C3 3 611.11 606.97 616.73
C4 4 609.93 597.40 620.98
C5 5 613.38 608.78 619.88
C6 6 614.24 606.46 624.25
C7 7 613.56 607.89 623.75
C8 8 613.01 604.89 623.62
C9 9 619.90 613.93 625.16
C10 10 611.24 603.51 619.14
C11 11 618.74 611.63 623.79
C12 12 618.45 612.59 627.97
C13 13 615.90 610.14 625.07
C14 14 618.76 613.44 622.34
C15 15 616.01 606.79 627.11
C16 16 618.78 613.96 625.66
C17 17 622.11 616.73 628.03
C18 18 618.43 616.29 620.48
C19 19 612.62 609.64 614.74
C20 20 615.13 610.62 620.10
C21 21 612.48 602.66 621.39
C22 22 612.14 596.45 622.88
C23 23 619.63 618.26 620.67
C24 24 608.71 604.46 611.09
C25 25 619.74 613.95 626.64
C26 26 618.09 606.87 632.17
C27 27 619.45 614.36 625.22
C28 28 621.06 616.84 628.37
C29 29 615.85 601.77 625.75
C30 30 620.64 613.93 629.40
C31 31 614.96 606.89 621.45
C32 32 614.96 602.68 627.05
C33 33 616.69 608.22 625.67
C34 34 613.76 610.56 617.24
C35 35 618.41 614.46 623.73
C36 36 613.73 610.52 615.39
C37 37 624.28 617.78 628.90
C38 38 614.29 606.70 625.54
C39 39 617.70 605.52 630.90
C40 40 615.62 602.73 624.64
C41 41 614.66 610.09 618.02
C42 42 621.16 615.32 627.08
C43 43 618.60 607.83 625.13
C44 44 618.44 613.90 626.15
C45 45 619.89 615.29 627.12
C46 46 619.30 613.96 625.78
C47 47 617.26 613.89 621.95
C48 48 616.88 607.47 623.78
C49 49 620.04 601.75 630.80
C50 50 617.05 604.54 623.36
C51 51 620.03 615.69 625.24
C52 52 617.49 616.63 619.11
C53 53 615.19 601.22 625.70
C54 54 617.18 613.03 619.95
C55 55 618.60 611.97 628.06
C56 56 617.54 605.45 627.03
C57 57 618.53 610.73 627.58
C58 58 618.17 607.30 630.94
C59 59 614.99 601.67 627.07
C60 60 621.67 610.65 627.60
C61 61 619.01 611.11 627.72
C62 62 618.05 608.81 624.42
C63 63 617.95 607.84 623.23
C64 64 619.24 615.42 622.33
C65 65 621.29 609.27 630.71
C66 66 622.54 615.73 632.25
C67 67 621.00 608.79 627.57
C68 68 619.87 613.52 625.13
C69 69 617.26 602.25 627.55
C70 70 614.95 604.30 622.87
C71 71 620.65 615.75 628.97
C72 72 625.47 619.16 629.50
C73 73 607.47 595.09 627.02
C74 74 619.73 610.23 629.44
C75 75 620.71 606.92 632.77
C76 76 616.01 609.26 624.84
C77 77 616.81 604.68 627.13
C78 78 616.40 608.57 631.88
C79 79 619.38 610.66 634.09
C80 80 619.00 607.87 629.03
C81 81 603.92 581.99 620.55
C82 82 619.94 610.66 627.15
C83 83 624.59 616.39 632.20
C84 84 615.31 601.68 628.53
C85 85 620.54 613.07 624.69
C86 86 618.13 607.83 630.28
C87 87 623.67 619.67 625.68
C88 88 615.64 601.67 623.34
C89 89 619.67 611.77 629.08
C90 90 614.71 600.77 623.43
C91 91 622.30 615.89 625.76
C92 92 621.08 609.65 630.76
C93 93 618.71 610.71 629.04
C94 94 617.76 614.03 621.93
C95 95 618.37 608.75 624.39
C96 96 614.81 607.23 629.32
C97 97 619.55 612.09 630.79
C98 98 624.31 619.70 627.58
C99 99 617.03 608.20 627.99
