#COPIER ID MEAN MIN MAX
C0 0 2.33 0 4
C1 1 2.33 0 4
C2 2 3.33 2 6
C3 3 2.33 1 4
C4 4 2.67 2 4
C5 5 0.67 0 1
C6 6 2.33 1 4
C7 7 2.00 1 3
C8 8 0.67 0 1
C9 9 2.33 1 3
C10 10 0.67 0 1
C11 11 2.33 0 4
C12 12 1.00 0 2
C13 13 1.00 0 3
C14 14 1.33 0 3
C15 15 0.67 0 1
C16 16 1.00 0 2
C17 17 0.67 0 1
C18 18 1.00 0 2
C19 19 0.67 0 2
C20 20 0.33 0 1
C21 21 0.67 0 1
C22 22 1.33 0 2
C23 23 1.33 0 4
C24 24 1.33 0 3
C25 25 1.67 0 4
C26 26 1.00 0 2
C27 27 1.00 0 2
C28 28 0.33 0 1
C29 29 1.33 0 3
C30 30 1.00 0 2
C31 31 0.00 0 0
C32 32 0.67 0 1
C33 33 1.33 0 3
C34 34 0.33 0 1
C35 35 0.00 0 0
C36 36 1.67 1 2
C37 37 0.33 0 1
C38 38 1.33 0 3
C39 39 2.33 1 3
C40 40 1.00 0 3
C41 41 0.67 0 1
C42 42 1.00 1 1
C43 43 0.67 0 2
C44 44 0.67 0 1
C45 45 2.33 0 6
C46 46 1.33 0 3
C47 47 0.67 0 1
C48 48 1.67 1 2
C49 49 1.33 1 2
C50 50 0.00 0 0
C51 51 0.00 0 0
C52 52 1.00 0 2
C53 53 1.00 0 3
C54 54 1.00 0 3
C55 55 0.67 0 1
C56 56 0.67 0 1
C57 57 2.33 1 4
C58 58 1.33 0 2
C59 59 1.67 0 3
C60 60 0.33 0 1
C61 61 1.00 1 1
C62 62 1.00 0 2
C63 63 1.00 1 1
C64 64 2.00 1 3
C65 65 1.00 0 3
C66 66 1.33 0 3
C67 67 0.67 0 1
C68 68 1.33 0 3
C69 69 0.67 0 1
C70 70 0.67 0 1
C71 71 0.33 0 1
C72 72 1.00 1 1
C73 73 1.67 1 2
C74 74 1.33 0 3
C75 75 0.33 0 1
C76 76 0.67 0 1
C77 77 1.00 0 2
C78 78 1.00 1 1
C79 79 0.67 0 1
C80 80 0.33 0 1
C81 81 0.67 0 1
C82 82 1.33 0 4
C83 83 0.67 0 1
C84 84 2.33 1 4
C85 85 1.67 1 2
C86 86 1.00 0 2
C87 87 1.33 1 2
C88 88 1.33 1 2
C89 89 0.67 0 1
C90 90 1.33 0 3
C91 91 0.00 0 0
C92 92 0.67 0 1
C93 93 1.00 0 2
C94 94 1.00 0 2
C95 95 1.00 0 3
C96 96 1.00 0 2
C97 97 1.00 0 2
C98 98 1.67 1 2
C99 99 1.00 0 2
C100 100 0.33 0 1
C101 101 1.33 0 3
C102 102 1.00 0 2
C103 103 1.33 1 2
C104 104 1.33 1 2
C105 105 1.33 0 3
C106 106 1.00 0 2
C107 107 1.00 0 2
C108 108 0.33 0 1
C109 109 0.67 0 1
C110 110 0.67 0 1
C111 111 1.00 0 3
C112 112 1.33 0 3
C113 113 1.00 1 1
C114 114 1.00 0 2
C115 115 2.00 1 3
C116 116 1.00 1 1
C117 117 0.67 0 1
C118 118 2.33 1 3
C119 119 0.33 0 1
C120 120 0.67 0 2
C121 121 1.00 1 1
C122 122 0.67 0 1
C123 123 1.00 0 2
C124 124 0.67 0 2
C125 125 0.33 0 1
C126 126 0.33 0 1
C127 127 0.33 0 1
C128 128 0.33 0 1
C129 129 1.67 0 4
C130 130 1.33 0 3
C131 131 2.33 1 3
C132 132 0.33 0 1
C133 133 1.00 1 1
C134 134 0.67 0 2
C135 135 1.67 1 2
C136 136 1.33 1 2
C137 137 1.00 1 1
C138 138 1.00 0 2
C139 139 1.33 1 2
C140 140 1.67 0 5
C141 141 1.33 0 2
C142 142 2.00 0 3
C143 143 1.00 0 3
C144 144 0.00 0 0
C145 145 0.00 0 0
C146 146 0.67 0 1
C147 147 1.00 0 2
C148 148 0.67 0 1
C149 149 0.00 0 0
C150 150 1.33 0 2
C151 151 0.00 0 0
C152 152 0.33 0 1
C153 153 0.00 0 0
C154 154 1.00 0 2
C155 155 1.33 0 3
C156 156 1.33 1 2
C157 157 1.00 0 2
C158 158 0.67 0 1
C159 159 1.00 0 2
C160 160 0.67 0 1
C161 161 0.00 0 0
C162 162 0.67 0 1
C163 163 0.67 0 1
C164 164 0.33 0 1
C165 165 1.00 1 1
C166 166 0.67 0 2
C167 167 1.33 1 2
C168 168 1.00 0 2
C169 169 0.33 0 1
C170 170 1.67 1 2
C171 171 2.00 1 3
C172 172 0.67 0 1
C173 173 0.00 0 0
C174 174 0.67 0 1
C175 175 1.33 1 2
C176 176 0.33 0 1
C177 177 1.33 0 3
C178 178 2.00 1 3
C179 179 2.00 1 3
C180 180 1.67 1 2
C181 181 0.33 0 1
C182 182 1.33 0 2
C183 183 0.33 0 1
C184 184 1.67 0 3
C185 185 0.67 0 1
C186 186 1.67 1 3
C187 187 0.33 0 1
C188 188 1.00 0 2
C189 189 0.67 0 1
C190 190 0.33 0 1
C191 191 0.67 0 1
C192 192 1.67 1 2
C193 193 2.33 0 5
C194 194 0.67 0 1
C195 195 1.67 0 3
C196 196 1.00 0 2
C197 197 1.00 0 2
C198 198 0.67 0 1
C199 199 0.67 0 1
C200 200 0.67 0 1
C201 201 0.33 0 1
C202 202 3.00 1 5
C203 203 1.00 0 2
C204 204 1.67 0 3
C205 205 0.67 0 2
C206 206 0.67 0 1
C207 207 1.33 0 2
C208 208 1.00 0 2
C209 209 2.33 0 4
C210 210 1.33 0 3
C211 211 1.00 0 2
C212 212 0.33 0 1
C213 213 1.00 0 2
C214 214 0.00 0 0
C215 215 0.33 0 1
C216 216 1.33 0 2
C217 217 2.00 1 4
C218 218 0.33 0 1
C219 219 1.00 0 2
C220 220 1.00 1 1
C221 221 1.00 1 1
C222 222 1.00 0 2
C223 223 1.33 0 3
C224 224 0.67 0 1
C225 225 1.67 1 2
C226 226 1.33 0 3
C227 227 1.67 0 4
C228 228 0.33 0 1
C229 229 0.00 0 0
C230 230 1.00 0 2
C231 231 1.00 0 2
C232 232 1.33 0 3
C233 233 2.33 2 3
C234 234 0.67 0 1
C235 235 0.00 0 0
C236 236 1.33 1 2
C237 237 0.67 0 1
C238 238 1.00 0 2
C239 239 0.67 0 1
C240 240 1.00 1 1
C241 241 1.00 1 1
C242 242 1.00 1 1
C243 243 2.33 2 3
C244 244 1.00 0 2
C245 245 0.33 0 1
C246 246 0.33 0 1
C247 247 1.33 1 2
C248 248 0.33 0 1
C249 249 2.33 0 5
C250 250 0.67 0 1
C251 251 1.00 0 2
C252 252 1.00 0 3
C253 253 0.67 0 2
C254 254 0.67 0 2
C255 255 0.67 0 1
C256 256 1.00 0 2
C257 257 0.67 0 2
C258 258 0.33 0 1
C259 259 0.33 0 1
C260 260 2.00 1 3
C261 261 1.00 0 2
C262 262 1.67 1 3
C263 263 0.33 0 1
C264 264 0.67 0 1
C265 265 0.33 0 1
C266 266 0.67 0 2
C267 267 1.00 0 2
C268 268 0.67 0 2
C269 269 1.33 1 2
C270 270 1.67 0 3
C271 271 1.33 0 3
C272 272 0.67 0 1
C273 273 1.33 1 2
C274 274 1.33 0 3
C275 275 1.67 0 3
C276 276 1.67 0 3
C277 277 1.67 1 2
C278 278 1.33 1 2
C279 279 0.33 0 1
C280 280 1.33 0 2
C281 281 0.67 0 1
C282 282 0.67 0 2
C283 283 0.67 0 1
C284 284 1.67 1 2
C285 285 0.00 0 0
C286 286 1.00 0 2
C287 287 0.67 0 1
C288 288 1.67 1 2
C289 289 1.33 1 2
C290 290 0.67 0 1
C291 291 0.33 0 1
C292 292 1.33 1 2
C293 293 1.33 0 3
C294 294 0.00 0 0
C295 295 0.67 0 2
C296 296 1.00 0 2
C297 297 1.00 0 3
C298 298 0.67 0 2
C299 299 1.00 0 2
C300 300 2.00 1 3
C301 301 1.33 1 2
C302 302 0.33 0 1
C303 303 0.67 0 1
